p,Amount of sets in solution,Covered Elements,Elements to be covered,Coverage Rate,Sum of all Set-sizes in solution,Time elapsed in sec
1.185,44302,27354,29181,0.937390767965457,915288,192.017
1.19,43192,27153,29181,0.9305027243754498,893867,184.01
1.195,42495,27646,29181,0.9473972790514376,931581,185.014
1.2,44451,27485,29181,0.9418799904047154,930809,189.258
1.205,46873,28434,29181,0.9744011514341524,1006108,201.045
1.21,45447,27675,29181,0.9483910763853192,941037,192.331
1.215,46241,27688,29181,0.9488365717418868,944341,195.618
1.22,44591,27300,29181,0.9355402487920222,916639,190.075
1.225,46681,28419,29181,0.9738871183304205,1000189,199.582
1.23,46034,27577,29181,0.945032726774271,934991,193.631
1.235,7,396,29181,0.01357047393852164,556,5.294
1.24,44106,26940,29181,0.9232034543024571,886705,179.356
1.245,45742,27690,29181,0.948905109489051,938364,194.83
1.25,47606,28021,29181,0.9602481066447346,977085,201.44
1.255,43267,27067,29181,0.927555601247387,888573,181.415
1.26,41729,26839,29181,0.9197422980706624,877661,177.938
1.265,6,362,29181,0.012405332236729379,488,4.991
1.27,48934,27887,29181,0.9556560775847298,973542,199.658
1.275,45261,27602,29181,0.9458894486138241,940436,187.262
1.28,8,419,29181,0.014358658030910524,623,4.861
1.285,46132,27498,29181,0.942325485761283,929339,187.393
1.29,47244,27546,29181,0.943970391693225,936024,197.515
1.295,44476,27589,29181,0.9454439532572564,930262,187.224
1.3,8,419,29181,0.014358658030910524,623,4.654
1.305,47902,28155,29181,0.9648401357047394,988352,195.653
1.31,48728,28258,29181,0.9683698296836983,992337,201.095
1.315,48372,27959,29181,0.9581234364826429,977546,197.586
1.32,11,506,29181,0.01734005003255543,818,4.561
1.325,5,323,29181,0.01106884616702649,419,4.51
1.33,45782,27864,29181,0.9548678934923409,953783,187.372
1.335,46643,27817,29181,0.953257256433981,956098,193.869
1.34,49592,28288,29181,0.9693978958911621,1004708,203.435
1.345,12,541,29181,0.018539460607929818,881,4.369
1.35,8,419,29181,0.014358658030910524,623,4.376
1.355,46247,27929,29181,0.9570953702751791,964496,185.468
1.36,51880,28579,29181,0.9793701381035606,1033516,212.494
1.365,46435,27688,29181,0.9488365717418868,951995,187.463
1.37,45659,27700,29181,0.9492477982248724,940826,189.039
1.375,49701,28178,29181,0.9656283197971283,991894,205.01
1.38,9,457,29181,0.015660875227031287,689,4.257
1.385,5,323,29181,0.01106884616702649,419,4.219
1.39,48537,28404,29181,0.9733730852266886,1003693,194.022
1.395,46684,28190,29181,0.9660395462801138,982947,192.222
1.4,53158,28760,29181,0.9855728042219253,1056166,212.416
1.405,49153,28279,29181,0.9690894760289229,998286,197.488
1.41,49063,28114,29181,0.9634351118878722,981966,199.252
1.415,11,506,29181,0.01734005003255543,818,4.08
1.42,49421,28228,29181,0.9673417634762346,993659,195.772
1.425,47753,28047,29181,0.9611390973578698,977035,193.793
1.43,47071,27900,29181,0.9561015729412974,963174,192.132
1.435,51740,28364,29181,0.9720023302834035,1024314,206.865
1.44,49625,28038,29181,0.9608306774956307,992022,192.089
1.445,44707,27436,29181,0.9402008155991912,920026,178.164
1.45,18,724,29181,0.024810664473458758,1249,3.959
1.455,48370,28133,29181,0.9640862204859326,982389,192.367
1.46,10,482,29181,0.01651759706658442,749,3.937
1.465,7,394,29181,0.01350193619135739,554,3.87
1.47,51172,28543,29181,0.978136458654604,1031243,197.635
1.475,46775,27805,29181,0.9528460299509955,954893,185.274
1.48,50126,28307,29181,0.9700490044892225,1003176,202.132
1.485,52604,28902,29181,0.9904389842705871,1061669,207.483
1.49,46660,27030,29181,0.9262876529248484,916165,179.354
1.495,27,991,29181,0.03396045371988623,1752,3.807
1.5,24,894,29181,0.030636372982420067,1602,3.815
1.505,18,724,29181,0.024810664473458758,1249,3.805
1.51,51739,28677,29181,0.9827284877146089,1034792,202.189
1.515,10,482,29181,0.01651759706658442,749,3.757
1.52,9,457,29181,0.015660875227031287,689,3.751
1.525,48724,28191,29181,0.966073815153696,987932,191.21
1.53,51254,28661,29181,0.9821801857372948,1036974,202.796
1.535,49705,28459,29181,0.9752578732737055,1011393,197.289
1.54,90,2000,29181,0.0685377471642507,4969,3.993
1.545,50969,28346,29181,0.9713854905589253,1008955,198.828
1.55,51087,28409,29181,0.9735444295945992,1011977,199.864
1.555,47477,27216,29181,0.9326616634111237,930816,178.225
1.56,38,1210,29181,0.04146533703437168,2377,3.733
1.565,25,910,29181,0.031184674959734072,1652,3.712
1.57,24,894,29181,0.030636372982420067,1602,3.646
1.575,18,724,29181,0.024810664473458758,1249,3.612
1.58,53502,29146,29181,0.9988005894246256,1081970,206.538
1.585,11,506,29181,0.01734005003255543,818,3.601
1.59,49140,28584,29181,0.9795414824714712,1024832,190.822
1.595,47231,28006,29181,0.9597340735410027,975198,186.226
1.6,52152,29055,29181,0.9956821219286522,1067034,204.176
1.605,49464,28205,29181,0.9665535793838457,990076,193.946
1.61,49734,28224,29181,0.9672046879819061,995937,195.77
1.615,45456,25412,29181,0.8708406154689695,807449,157.274
1.62,41216,24613,29181,0.8434597854768514,743130,141.192
1.625,90,2000,29181,0.0685377471642507,4969,3.827
1.63,77,1840,29181,0.06305472739111065,4328,3.713
1.635,49588,28291,29181,0.9695007025119085,999759,190.611
1.64,57,1547,29181,0.05301394743154793,3388,3.668
1.645,44,1328,29181,0.04550906411706247,2701,3.592
1.65,38,1210,29181,0.04146533703437168,2377,3.564
1.655,25,910,29181,0.031184674959734072,1652,3.537
1.66,23,873,29181,0.029916726637195436,1533,3.491
1.665,17,701,29181,0.024022480381069876,1180,3.483
1.67,14,594,29181,0.020355710907782463,959,3.464
1.675,49875,28404,29181,0.9733730852266886,1008327,191.405
1.68,49873,28401,29181,0.9732702786059422,1008201,194.946
1.685,53051,29104,29181,0.9973612967341764,1076114,202.236
1.69,50565,28483,29181,0.9760803262396766,1015880,194.963
1.695,52899,29016,29181,0.9943456358589493,1070078,202.744
1.7,48548,28153,29181,0.9647715979575752,988296,187.509
1.705,50868,28787,29181,0.9864980638086426,1045676,197.295
1.71,308,3914,29181,0.13412837120043863,14804,4.216
1.715,38168,22437,29181,0.7688907165621466,619021,116.306
1.72,37877,22798,29181,0.7812617799252939,634260,117.799
1.725,194,3057,29181,0.10475994654055722,9773,4.041
1.73,39712,23552,29181,0.8071005106062163,680528,126.719
1.735,40413,23915,29181,0.8195401117165279,701083,132.179
1.74,101,2137,29181,0.07323258284500188,5580,3.716
1.745,85,1950,29181,0.06682430348514444,4805,3.632
1.75,78,1868,29181,0.06401425585141017,4460,3.57
1.755,66,1685,29181,0.05774305198588123,3852,3.527
1.76,57,1545,29181,0.052945409684383674,3388,3.504
1.765,45,1342,29181,0.04598882834721223,2754,3.454
1.77,41,1251,29181,0.04287036085123882,2539,3.421
1.775,27,967,29181,0.033138000753915216,1764,3.417
1.78,23,876,29181,0.03001953325794181,1527,3.341
1.785,48989,28191,29181,0.966073815153696,993821,182.532
1.79,49933,28584,29181,0.9795414824714712,1024094,189.05
1.795,51533,28734,29181,0.9846818135087899,1040345,192.412
1.8,51697,28783,29181,0.9863609883143141,1045115,188.481
1.805,51778,28758,29181,0.985504266474761,1041078,192.715
1.81,51296,28547,29181,0.9782735341489325,1024262,190.422
1.815,54094,29169,29181,0.9995887735170145,1085168,198.639
1.82,53065,28929,29181,0.9913642438573044,1066424,193.074
1.825,49379,28541,29181,0.9780679209074398,1015476,184.642
1.83,51696,29001,29181,0.9938316027552174,1061975,191.455
1.835,51431,28877,29181,0.9895822624310339,1051905,189.096
1.84,49501,28560,29181,0.9787190295055002,1015880,185.92
1.845,51099,28604,29181,0.9802268599431136,1028110,192.651
1.85,23321,18729,29181,0.6418217333196258,401596,101.848
1.855,23321,18729,29181,0.6418217333196258,401596,101.25
1.86,23220,18610,29181,0.6377437373633529,397443,99.974
1.865,25408,19584,29181,0.671121620232343,443864,114.243
1.87,25408,19584,29181,0.671121620232343,443864,114.253
1.875,25348,19541,29181,0.6696480586683116,441284,114.624
1.88,199,3126,29181,0.10712449881772386,10068,3.74
1.885,200,3136,29181,0.10746718755354512,10136,3.859
1.89,159,2764,29181,0.09471916658099448,8280,3.71
1.895,139,2541,29181,0.08707720777218053,7360,3.684
1.9,116,2307,29181,0.0790582913539632,6293,3.549
1.905,108,2235,29181,0.07659093245605017,5916,3.502
1.91,91,2032,29181,0.06963435111887872,5096,3.463
1.915,82,1913,29181,0.0655563551626058,4655,3.414
1.92,76,1842,29181,0.0631232651382749,4360,3.417
1.925,74,1825,29181,0.06254069428737877,4260,3.421
1.93,62,1637,29181,0.05609814605393921,3648,3.314
1.935,39378,23504,29181,0.8054556046742744,677939,122.343
1.94,49376,28287,29181,0.9693636270175799,999649,186.772
1.945,51169,28775,29181,0.986086837325657,1048231,191.488
1.95,49650,28284,29181,0.9692608203968336,1005855,185.558
1.955,53364,29105,29181,0.9973955656077584,1079388,196.3
1.96,54234,29169,29181,0.9995887735170145,1085465,196.685
1.965,52792,28706,29181,0.9837222850484905,1043647,191.528
1.97,51891,28809,29181,0.9872519790274493,1050362,190.033
1.975,50660,28388,29181,0.9728247832493746,1013315,185.627
1.98,5878,14902,29181,0.5106747541208321,204814,23.281
1.985,5878,14902,29181,0.5106747541208321,204814,22.561
1.99,53137,28786,29181,0.9864637949350605,1051463,189.331
1.995,54234,29168,29181,0.9995545046434323,1085468,192.734
2.0,54236,29171,29181,0.9996573112641788,1085594,192.337
1.005,0,0,29181,0.0,0,134.776
1.01,17,631,29181,0.0216236592303211,992,68.563
1.015,420,4287,29181,0.1469106610465714,18089,47.408
1.02,3580,11490,29181,0.39374935745862033,117190,46.361
1.025,3831,12255,29181,0.4199650457489462,134501,41.156
1.03,10787,18147,29181,0.6218772488948289,322717,62.24
1.035,11534,16703,29181,0.5723929954422398,281023,58.596
1.04,19651,21356,29181,0.7318460642198691,478779,90.616
1.045,22094,22820,29181,0.7820156951441006,572636,101.354
1.05,30942,25143,29181,0.8616222884753778,730171,140.625
1.055,18385,20611,29181,0.7063157534011857,449957,79.802
1.06,28224,23929,29181,0.8200198759466776,646228,125.447
1.065,27982,23896,29181,0.8188890031184675,641056,123.962
1.07,27019,23898,29181,0.8189575408656318,638447,120.547
1.075,36711,25965,29181,0.8897913025598848,795618,175.095
1.08,36172,25456,29181,0.872348445906583,753302,158.379
1.085,32290,24073,29181,0.8249545937425037,672189,139.121
1.09,26963,23692,29181,0.8118981529077139,624651,118.43
1.095,41892,26724,29181,0.915801377608718,870360,184.278
1.1,34183,25175,29181,0.8627188924300059,734261,148.228
1.105,36463,25912,29181,0.8879750522600323,801552,161.535
1.11,40267,26653,29181,0.9133682875843872,858087,176.592
1.115,38893,25908,29181,0.8878379767657038,799089,167.867
1.12,41018,27041,29181,0.9266646105342518,879885,181.578
1.125,34732,25240,29181,0.864946369212844,736707,148.818
1.13,42617,27481,29181,0.9417429149103869,912347,189.646
1.135,44164,27612,29181,0.9462321373496453,941569,189.949
1.14,38425,26108,29181,0.8946917514821288,809431,164.325
1.145,44324,27860,29181,0.9547308179980124,953728,193.742
1.15,42440,27895,29181,0.9559302285733868,955885,185.242
1.155,47370,28377,29181,0.9724478256399712,1000559,202.768
1.16,41549,26787,29181,0.9179603166443919,865051,174.665
1.165,43950,27677,29181,0.9484596141324835,938904,193.159
1.17,43476,27278,29181,0.9347863335732155,899733,186.931
1.175,41380,27064,29181,0.9274527946266407,882766,179.37
1.18,42429,26987,29181,0.9248140913608169,880347,183.49
1.185,44302,27354,29181,0.937390767965457,915288,189.745
1.19,43192,27153,29181,0.9305027243754498,893867,184.663
1.195,42495,27646,29181,0.9473972790514376,931581,183.799
1.2,44451,27485,29181,0.9418799904047154,930809,190.816
1.205,46873,28434,29181,0.9744011514341524,1006108,201.057
1.21,45447,27675,29181,0.9483910763853192,941037,193.554
1.215,46241,27688,29181,0.9488365717418868,944341,195.522
1.22,44591,27300,29181,0.9355402487920222,916639,189.065
1.225,46681,28419,29181,0.9738871183304205,1000189,199.931
1.23,46034,27577,29181,0.945032726774271,934991,193.737
1.235,7,396,29181,0.01357047393852164,556,5.169
1.24,44106,26940,29181,0.9232034543024571,886705,179.39
1.245,45742,27690,29181,0.948905109489051,938364,194.798
1.25,47606,28021,29181,0.9602481066447346,977085,201.182
1.255,43267,27067,29181,0.927555601247387,888573,180.385
1.26,41729,26839,29181,0.9197422980706624,877661,177.031
1.265,6,362,29181,0.012405332236729379,488,4.933
1.27,48934,27887,29181,0.9556560775847298,973542,199.132
1.275,45261,27602,29181,0.9458894486138241,940436,186.081
1.28,8,419,29181,0.014358658030910524,623,4.731
1.285,46132,27498,29181,0.942325485761283,929339,186.896
1.29,47244,27546,29181,0.943970391693225,936024,197.855
1.295,44476,27589,29181,0.9454439532572564,930262,186.821
1.3,8,419,29181,0.014358658030910524,623,4.566
1.305,47902,28155,29181,0.9648401357047394,988352,196.606
1.31,48728,28258,29181,0.9683698296836983,992337,200.368
1.315,48372,27959,29181,0.9581234364826429,977546,198.794
1.32,11,506,29181,0.01734005003255543,818,4.459
1.325,5,323,29181,0.01106884616702649,419,4.427
1.33,45782,27864,29181,0.9548678934923409,953783,187.108
1.335,46643,27817,29181,0.953257256433981,956098,193.556
1.34,49592,28288,29181,0.9693978958911621,1004708,204.893
1.345,12,541,29181,0.018539460607929818,881,4.29
1.35,8,419,29181,0.014358658030910524,623,4.295
1.355,46247,27929,29181,0.9570953702751791,964496,185.2
1.36,51880,28579,29181,0.9793701381035606,1033516,209.756
1.365,46435,27688,29181,0.9488365717418868,951995,185.851
1.37,45659,27700,29181,0.9492477982248724,940826,189.875
1.375,49701,28178,29181,0.9656283197971283,991894,204.012
1.38,9,457,29181,0.015660875227031287,689,4.148
1.385,5,323,29181,0.01106884616702649,419,4.115
1.39,48537,28404,29181,0.9733730852266886,1003693,193.449
1.395,46684,28190,29181,0.9660395462801138,982947,190.142
1.4,53158,28760,29181,0.9855728042219253,1056166,210.407
1.405,49153,28279,29181,0.9690894760289229,998286,196.155
1.41,49063,28114,29181,0.9634351118878722,981966,198.047
1.415,11,506,29181,0.01734005003255543,818,4.028
1.42,49421,28228,29181,0.9673417634762346,993659,196.164
1.425,47753,28047,29181,0.9611390973578698,977035,193.832
1.43,47071,27900,29181,0.9561015729412974,963174,191.481
1.435,51740,28364,29181,0.9720023302834035,1024314,201.951
1.44,49625,28038,29181,0.9608306774956307,992022,191.165
1.445,44707,27436,29181,0.9402008155991912,920026,175.847
1.45,18,724,29181,0.024810664473458758,1249,3.879
1.455,48370,28133,29181,0.9640862204859326,982389,191.092
1.46,10,482,29181,0.01651759706658442,749,3.875
1.465,7,394,29181,0.01350193619135739,554,3.794
1.47,51172,28543,29181,0.978136458654604,1031243,199.161
1.475,46775,27805,29181,0.9528460299509955,954893,185.113
1.48,50126,28307,29181,0.9700490044892225,1003176,201.49
1.485,52604,28902,29181,0.9904389842705871,1061669,206.18
1.49,46660,27030,29181,0.9262876529248484,916165,176.959
1.495,27,991,29181,0.03396045371988623,1752,3.75
1.5,24,894,29181,0.030636372982420067,1602,3.776
1.505,18,724,29181,0.024810664473458758,1249,3.745
1.51,51739,28677,29181,0.9827284877146089,1034792,201.902
1.515,10,482,29181,0.01651759706658442,749,3.68
1.52,9,457,29181,0.015660875227031287,689,3.7
1.525,48724,28191,29181,0.966073815153696,987932,190.794
1.53,51254,28661,29181,0.9821801857372948,1036974,200.575
1.535,49705,28459,29181,0.9752578732737055,1011393,194.5
1.54,90,2000,29181,0.0685377471642507,4969,3.936
1.545,50969,28346,29181,0.9713854905589253,1008955,198.573
1.55,51087,28409,29181,0.9735444295945992,1011977,199.557
1.555,47477,27216,29181,0.9326616634111237,930816,175.888
1.56,38,1210,29181,0.04146533703437168,2377,3.697
1.565,25,910,29181,0.031184674959734072,1652,3.653
1.57,24,894,29181,0.030636372982420067,1602,3.609
1.575,18,724,29181,0.024810664473458758,1249,3.556
1.58,53502,29146,29181,0.9988005894246256,1081970,207.003
1.585,11,506,29181,0.01734005003255543,818,3.54
1.59,49140,28584,29181,0.9795414824714712,1024832,190.326
1.595,47231,28006,29181,0.9597340735410027,975198,186.683
1.6,52152,29055,29181,0.9956821219286522,1067034,203.877
1.605,49464,28205,29181,0.9665535793838457,990076,193.075
1.61,49734,28224,29181,0.9672046879819061,995937,193.932
1.615,45456,25412,29181,0.8708406154689695,807449,156.363
1.62,41216,24613,29181,0.8434597854768514,743130,140.809
1.625,90,2000,29181,0.0685377471642507,4969,3.768
1.63,77,1840,29181,0.06305472739111065,4328,3.661
1.635,49588,28291,29181,0.9695007025119085,999759,188.529
1.64,57,1547,29181,0.05301394743154793,3388,3.634
1.645,44,1328,29181,0.04550906411706247,2701,3.544
1.65,38,1210,29181,0.04146533703437168,2377,3.528
1.655,25,910,29181,0.031184674959734072,1652,3.502
1.66,23,873,29181,0.029916726637195436,1533,3.442
1.665,17,701,29181,0.024022480381069876,1180,3.436
1.67,14,594,29181,0.020355710907782463,959,3.436
1.675,49875,28404,29181,0.9733730852266886,1008327,191.165
1.68,49873,28401,29181,0.9732702786059422,1008201,194.175
1.685,53051,29104,29181,0.9973612967341764,1076114,202.49
1.69,50565,28483,29181,0.9760803262396766,1015880,194.874
1.695,52899,29016,29181,0.9943456358589493,1070078,202.384
1.7,48548,28153,29181,0.9647715979575752,988296,187.087
1.705,50868,28787,29181,0.9864980638086426,1045676,196.366
1.71,308,3914,29181,0.13412837120043863,14804,4.137
1.715,38168,22437,29181,0.7688907165621466,619021,115.708
1.72,37877,22798,29181,0.7812617799252939,634260,117.659
1.725,194,3057,29181,0.10475994654055722,9773,4.01
1.73,39712,23552,29181,0.8071005106062163,680528,125.62
1.735,40413,23915,29181,0.8195401117165279,701083,131.031
1.74,101,2137,29181,0.07323258284500188,5580,3.65
1.745,85,1950,29181,0.06682430348514444,4805,3.588
1.75,78,1868,29181,0.06401425585141017,4460,3.506
1.755,66,1685,29181,0.05774305198588123,3852,3.481
1.76,57,1545,29181,0.052945409684383674,3388,3.447
1.765,45,1342,29181,0.04598882834721223,2754,3.415
1.77,41,1251,29181,0.04287036085123882,2539,3.393
1.775,27,967,29181,0.033138000753915216,1764,3.348
1.78,23,876,29181,0.03001953325794181,1527,3.309
1.785,48989,28191,29181,0.966073815153696,993821,183.224
1.79,49933,28584,29181,0.9795414824714712,1024094,190.717
1.795,51533,28734,29181,0.9846818135087899,1040345,192.677
1.8,51697,28783,29181,0.9863609883143141,1045115,190.746
1.805,51778,28758,29181,0.985504266474761,1041078,192.933
1.81,51296,28547,29181,0.9782735341489325,1024262,190.429
1.815,54094,29169,29181,0.9995887735170145,1085168,198.823
1.82,53065,28929,29181,0.9913642438573044,1066424,192.792
1.825,49379,28541,29181,0.9780679209074398,1015476,184.857
1.83,51696,29001,29181,0.9938316027552174,1061975,193.688
1.835,51431,28877,29181,0.9895822624310339,1051905,189.582
1.84,49501,28560,29181,0.9787190295055002,1015880,186.569
1.845,51099,28604,29181,0.9802268599431136,1028110,192.194
1.85,23321,18729,29181,0.6418217333196258,401596,101.728
1.855,23321,18729,29181,0.6418217333196258,401596,100.745
1.86,23220,18610,29181,0.6377437373633529,397443,100.287
1.865,25408,19584,29181,0.671121620232343,443864,114.339
1.87,25408,19584,29181,0.671121620232343,443864,115.098
1.875,25348,19541,29181,0.6696480586683116,441284,113.734
1.88,199,3126,29181,0.10712449881772386,10068,3.676
1.885,200,3136,29181,0.10746718755354512,10136,3.826
1.89,159,2764,29181,0.09471916658099448,8280,3.661
1.895,139,2541,29181,0.08707720777218053,7360,3.665
1.9,116,2307,29181,0.0790582913539632,6293,3.512
1.905,108,2235,29181,0.07659093245605017,5916,3.43
1.91,91,2032,29181,0.06963435111887872,5096,3.42
1.915,82,1913,29181,0.0655563551626058,4655,3.377
1.92,76,1842,29181,0.0631232651382749,4360,3.375
1.925,74,1825,29181,0.06254069428737877,4260,3.384
1.93,62,1637,29181,0.05609814605393921,3648,3.3
1.935,39378,23504,29181,0.8054556046742744,677939,121.716
1.94,49376,28287,29181,0.9693636270175799,999649,185.192
1.945,51169,28775,29181,0.986086837325657,1048231,190.914
1.95,49650,28284,29181,0.9692608203968336,1005855,182.813
1.955,53364,29105,29181,0.9973955656077584,1079388,194.085
1.96,54234,29169,29181,0.9995887735170145,1085465,195.641
1.965,52792,28706,29181,0.9837222850484905,1043647,190.119
1.97,51891,28809,29181,0.9872519790274493,1050362,188.01
1.975,50660,28388,29181,0.9728247832493746,1013315,183.949
1.98,5878,14902,29181,0.5106747541208321,204814,23.053
1.985,5878,14902,29181,0.5106747541208321,204814,22.496
1.99,53137,28786,29181,0.9864637949350605,1051463,189.537
1.995,54234,29168,29181,0.9995545046434323,1085468,192.418
2.0,54236,29171,29181,0.9996573112641788,1085594,193.26
